"Año";"Periodo";"Parámetro";"Renta bruta media";"Renta disponible media"
"2018";"Año";"28049-El Goloso (Madrid)";"56.746";"42.843"
"2018";"Año";"28050-Las Tablas (Madrid)";"51.475";"39.152"
"2018";"Año";"28051-Villa de Vallecas (Madrid)";"31.463";"25.500"
"2018";"Año";"28053-Entrevías-Puente de Vallecas (Madrid)";"20.767";"17.795"
"2018";"Año";"28054-Buenavista-La Fortuna (Madrid)";"32.633";"26.325"
"2018";"Año";"28055-Valdebebas-Valdefuentes (Madrid)";"64.753";"47.929"
"2018";"Año";"28100-Valdelasfuentes (Alcobendas)";"34.430";"27.499"
"2018";"Año";"28108-La Granja-Campus Empresarial (Alcobendas)";"75.276";"55.878"
"2018";"Año";"28109-La Moraleja (Alcobendas)";"214.276";"150.312"
"2018";"Año";"28223-Somosaguas-Humera (Pozuelo de Alarcón)";"96.930";"69.866"
"2018";"Año";"28224-Pozuelo de Alarcón (Pozuelo de Alarcón)";"61.549";"46.036"
"2018";"Año";"28231-El Burgo (Las Rozas)";"42.078";"32.835"
"2018";"Año";"28232-La Chopera-Európolis (Las Rozas)";"58.143";"43.635"
"2018";"Año";"28290-Las Matas (Las Rozas)";"57.577";"43.505"
"2018";"Año";"28801-Universidad de Alcalá (Alcalá de Henares)";"33.341";"26.353"
"2018";"Año";"28802-Museo Arquelógico Regional-Av. Madrid (Alcalá de Henares)";"21.029";"18.089"
"2018";"Año";"28803-Av Reyes Católicos-Calle Ronda Fiscal (Alcalá de Henares)";"24.461";"20.521"
"2018";"Año";"28804-Ciudad Deportiva Municipal Del Val-Av.Lope de Figueroa (Alcalá de Henares)";"27.051";"22.472"
"2018";"Año";"28805-Hospital Universitario-Centro Penitenciario (Alcalá de Henares)";"29.949";"24.512"
"2018";"Año";"28806-Polígonos Industriales (Alcalá de Henares)";"30.785";"24.981"
"2018";"Año";"28807-Estación (Alcalá de Henares)";"28.090";"23.138"
"2018";"Año";"28901-Getafe Centro-San Isidro (Getafe)";"25.819";"21.552"
"2018";"Año";"28902-Getafe Centro (Getafe)";"27.179";"22.538"
"2018";"Año";"28903-Juan de la Cierva-Universidad (Getafe)";"25.819";"21.521"
"2018";"Año";"28904-Getafe Centro (Getafe)";"24.281";"20.477"
"2018";"Año";"28905-La Alhóndiga (Getafe)";"31.712";"25.767"
"2018";"Año";"28906-Los Olivos-Los Ángeles (Getafe)";"30.218";"24.667"
"2018";"Año";"28907-El Bercial (Getafe)";"38.754";"30.980"
"2018";"Año";"28909-Perales del Río (Getafe)";"31.276";"25.326"
"2018";"Año";"28911-Zona centro (Leganés)";"24.306";"20.605"
"2018";"Año";"28912-Universidad (Leganés)";"21.697";"18.666"
"2018";"Año";"28913-San Nicasio (Leganés)";"21.838";"18.826"
"2018";"Año";"28914-Arroyo Culebro-Ciudad del Automóvil-Vereda de los Estudiantes-Polvoranca-Valdepelayo (Leganés)";"32.018";"25.917"
"2018";"Año";"28915-Zarzaquemada (Leganés)";"22.845";"19.553"
"2018";"Año";"28916-El Carrascal- Parquesur (Leganés)";"29.070";"23.691"
"2018";"Año";"28917-La Fortuna (Leganés)";"22.785";"19.350"
"2018";"Año";"28918-Solagua-Butarque-Campo de Tiro-Quinto Centenario (Leganés)";"32.188";"26.060"
"2018";"Año";"28919-Leganés Norte-Legatec-Prado Overa (Leganés)";"28.029";"22.976"
